date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI_7,RSI_14,RSI_21,MACD,MACD_Signal,BB_High_7,BB_Low_7,BB_Width_7,BB_High_14,BB_Low_14,BB_Width_14,BB_High_21,BB_Low_21,BB_Width_21,Aroon_7,Aroon_Up_7,Aroon_Down_7,Aroon_14,Aroon_Up_14,Aroon_Down_14,Aroon_21,Aroon_Up_21,Aroon_Down_21,ADX_7,ADX_neg_7,ADX_pos_7,ADX_14,ADX_neg_14,ADX_pos_14,ADX_21,ADX_neg_21,ADX_pos_21,OBV,Stoch_7,Stoch_Signal_7,Stoch_14,Stoch_Signal_14,Stoch_21,Stoch_Signal_21,ticker
2024-10-21,221.62342291691593,222.09575350721045,219.34046420277483,219.43887329101562,5870000,0.0,0.0,68.05715947655814,65.26531123754899,62.1196577584948,3.4240323247044557,1.993901512557917,222.11467927447373,217.2101018708946,4.90457740357914,227.10021229942637,199.09161465718634,28.008597642240034,224.13770633482392,197.04581911392978,27.091887220894137,85.71428571428571,85.71428571428571,0.0,78.57142857142858,92.85714285714286,14.285714285714285,52.38095238095237,95.23809523809523,42.857142857142854,53.47915711200062,8.611787903441403,33.64641960643228,35.30063671884313,15.49501206133446,27.664677662562426,0.0,19.118815946774912,23.231381564639157,39456100,72.86242401117765,86.79122515305205,87.20675899974438,92.83752644237353,87.20675899974438,92.83752644237353,JPM
2024-10-22,219.4585602020568,221.68246447536515,217.5692228077639,220.54098510742188,9586800,0.0,0.0,70.93859298414813,66.83068780971678,63.36638796042734,3.5453468694190065,2.304190583930135,222.30797987680148,217.53131019713823,4.776669679663257,227.58998739460716,201.1452137598292,26.44477363477796,225.3136022048503,197.1789485996512,28.134653605199105,71.42857142857143,71.42857142857143,0.0,78.57142857142857,85.71428571428571,7.142857142857142,52.38095238095239,90.47619047619048,38.095238095238095,50.82972955863868,13.787321985924322,28.591631361228554,34.166154712167646,17.38679169005707,25.766189519950178,0.0,20.1795916384468,22.202138622173116,49042900,74.43171326995947,81.16262943784281,92.11373789330814,92.30360013991442,92.11373789330814,92.30360013991442,JPM
2024-10-23,220.0883386396681,221.2101331832156,218.97637899895992,219.8423309326172,6180500,0.0,0.0,66.50196574534516,64.83591987688092,62.00797433457152,3.544257967493934,2.552204060642895,221.9744380372868,218.4074763739855,3.5669616633012993,226.81204572725528,204.65454406417888,22.157501663076403,226.24551604694827,197.4755489293352,28.769967117613078,57.14285714285714,57.14285714285714,0.0,78.57142857142857,78.57142857142857,0.0,52.38095238095238,85.71428571428571,33.33333333333333,48.55879165575701,12.589050996510116,26.106701914076837,33.11270713454041,16.71590673928965,24.7719779888233,0.0,19.682358070770327,21.65506865193062,42862400,48.56558704237456,65.28657477450389,86.79642586639882,88.70564091981713,89.0030904629542,89.44119578533558,JPM
2024-10-24,218.28756168686536,221.46597707614382,218.12027824691586,221.3872528076172,6002200,0.0,0.0,71.15588314484128,67.16950087613074,63.80934498985634,3.6262560660711927,2.7670144617285546,222.11174546361278,218.99834887930015,3.113396584312625,227.20574034563086,206.19517125802426,21.010569087606598,227.25659267289535,197.97052495638292,29.286067716512434,28.57142857142857,42.857142857142854,14.285714285714285,71.42857142857143,71.42857142857143,0.0,52.38095238095238,80.95238095238095,28.57142857142857,44.85310366172872,14.30293451423924,22.664615717033787,31.819176968474572,17.235751125538957,23.32052469508111,0.0,19.90267689134247,20.847207508434746,48864600,80.73759657178907,67.9116322947077,94.640794167702,91.18365264246965,95.88161124458382,92.33281320028205,JPM
2024-10-25,221.40693298542388,222.01702728481243,217.3527308395954,218.7598876953125,6369700,0.0,0.0,55.780042056599825,59.890374828489854,58.82851493092864,3.4395843558145884,2.9015284405457615,222.36552337243853,218.3706347260548,3.9948886463837425,226.72807202479623,208.27259282244148,18.455479202354752,227.7310079956252,198.7901290602714,28.940878935353794,-71.42857142857143,28.57142857142857,100.0,57.14285714285715,64.28571428571429,7.142857142857142,52.38095238095238,76.19047619047619,23.809523809523807,40.15036590770085,14.683084844364162,18.662530348553314,30.33494278518807,17.172687904349587,21.434929658949454,0.0,19.724192735537308,19.767708888957305,42494900,28.372868032095866,52.558683882086505,79.41843173454606,86.9518839228823,84.1836828131436,89.68946150689389,JPM
2024-10-28,219.78329598096235,222.03672001698982,219.38967463255813,221.89895629882812,6843000,0.0,0.0,66.01602244040942,64.79867576186443,62.50058999197085,3.5045440799018195,3.0221315684169734,222.78077667613988,218.25902696504315,4.5217497110967315,226.09634920793633,210.97781068673441,15.118538521201913,228.54572570973443,199.5013236764263,29.04440203330813,-71.42857142857142,14.285714285714285,85.71428571428571,57.14285714285714,57.14285714285714,0.0,52.38095238095238,71.42857142857143,19.047619047619047,36.1521777635589,12.82670083964648,16.37900513904771,28.962770318107292,16.18273445366223,20.233914896937286,0.0,18.998503037804515,19.062528901173263,49337900,91.66672107299006,66.92572855895833,97.46071748960674,90.50664779728493,98.15989026650968,92.74172810807903,JPM
2024-10-29,221.61359322516637,223.12899411992382,219.25191018792373,219.34046936035156,6580000,0.0,0.0,54.10660336911955,58.513652792829305,58.06832220437393,3.311404802201082,3.079986215173795,222.30099526376623,218.04436344856637,4.256631815199853,225.1013266124752,213.30549232237416,11.795834290101027,228.90085901833936,200.3949057231041,28.50595329523526,28.57142857142857,100.0,71.42857142857143,100.0,100.0,0.0,85.71428571428572,100.0,14.285714285714285,34.53322476905309,10.920790900345025,18.131401858183448,28.02995196160899,15.075394784964507,20.77713491958114,0.0,18.168076986945724,19.460729416573997,42757900,34.41218698471689,51.48392536326761,74.80363150252319,83.89426024222533,83.72405637234311,88.68920981733213,JPM
2024-10-30,218.98620717794773,222.69600749060157,218.04154602034404,220.82635498046875,7110900,0.0,0.0,59.10530446265129,60.88642017502926,59.8064807306953,3.2408802346420202,3.1121650190674406,222.4467151959546,218.29506685622175,4.151648339732844,222.39642142436801,217.6368601744043,4.759561249963724,228.90851152798422,202.13330046048304,26.775211067501175,28.57142857142857,85.71428571428571,57.14285714285714,92.85714285714286,92.85714285714286,0.0,85.71428571428571,95.23809523809523,9.523809523809524,30.345516384508255,13.5191304405868,15.0080393355069,26.664576635507668,15.963660693083773,19.08845032096277,0.0,18.57729426032167,18.44447728443877,49868800,60.1361809927031,62.07169635013668,79.81012419727915,84.0248243964697,90.10759406180085,90.66384690021789,JPM
2024-10-31,221.11173377131124,222.0859297393114,218.27773507233533,218.37612915039062,7829900,0.0,0.0,48.86578901081126,55.27252043443405,55.80147746745556,2.953233225355717,3.080378660325096,222.54832869119434,217.5749230875445,4.973405603649837,222.43278116486906,217.54848976147022,4.884291403398834,228.40789300901645,204.1233250201874,24.284567988829053,28.571428571428577,71.42857142857143,42.857142857142854,85.71428571428571,85.71428571428571,0.0,85.71428571428572,90.47619047619048,4.761904761904762,26.756052054898394,11.61005995156152,12.888716268134889,25.396728118413584,14.896840025207956,17.81280598651845,12.729881246811125,17.77965822892484,17.65254389219169,42038900,17.71730721278741,37.421891730069134,38.62772646823699,64.41382738934645,79.58113851083253,84.47092964832551,JPM
2024-11-01,219.98993134977013,222.5385676120307,219.14366422998984,219.3798370361328,6923500,0.0,0.0,52.775696819412765,57.0207132132715,57.0389069823306,2.774281545428721,3.0191592373458214,222.52624100787853,217.46486965757907,5.061371350299453,222.29115727322576,217.89535526513922,4.395802008086548,227.15949323765216,207.14860351178982,20.01088972586234,28.57142857142857,57.14285714285714,28.57142857142857,78.57142857142857,78.57142857142857,0.0,85.71428571428571,85.71428571428571,0.0,24.681521172713584,9.83842492929272,12.581333475991045,24.385249259845455,13.810463075607021,17.306807045159132,12.17781003085851,16.944682734094396,17.33422332471012,48962400,35.09372925297395,37.64907248615483,35.09372925297395,51.17719330616336,80.79636597046161,83.49503284769833,JPM
2024-11-04,219.09445786114256,220.18673268089208,215.6700347837328,216.27029418945312,8229600,0.0,0.0,41.34827305661407,50.44280221303532,52.27779407762832,2.354406793666101,2.8862087486098775,222.59476327177066,215.93435921706862,6.660404054702042,222.81189508965934,217.0077133262168,5.804181763442557,226.6718934504511,208.43842178159875,18.23347166885236,-57.142857142857146,42.857142857142854,100.0,-28.57142857142857,71.42857142857143,100.0,80.95238095238095,80.95238095238095,0.0,25.798040482536226,20.696913266461344,10.544381019313658,23.223209298829367,18.765280209603898,15.94773263483564,12.059979951799615,19.990117576512482,16.453824029329216,40732800,8.04749534975814,20.286177271839833,8.04749534975814,27.25631702365636,62.05768535107631,74.14506327745681,JPM
2024-11-05,216.51631125199157,218.41549864006856,216.4867915270838,217.9530029296875,5600700,0.0,0.0,48.401825334844915,53.56457884464751,54.43869637785423,2.132847422774887,2.7355364834428797,222.59523457676897,215.70334940760603,6.891885169162947,222.8274953797176,216.68987566171657,6.1376197180010195,225.99621582376298,210.10375540252048,15.892460421242504,-57.14285714285714,28.57142857142857,85.71428571428571,-28.57142857142857,64.28571428571429,92.85714285714286,71.42857142857143,76.19047619047619,4.761904761904762,26.75505703381278,18.993018944364938,9.676304184979921,22.144172192171567,18.04065904989671,15.33191105437022,11.947760828886384,19.496302329965264,16.04736573119322,46333500,30.607059819694847,24.582761474142313,30.607059819694847,24.582761474142313,71.3664268227396,71.4068260480925,JPM
2024-11-06,231.2472451295521,244.03964592395286,231.02092224280753,243.11465454101562,23987800,0.0,0.0,83.34464542602103,76.94828121459241,73.37063085690156,3.942152347079741,2.976859656170252,239.47184679398012,204.88836525959132,34.583481534388795,233.79243957521675,208.90756827216046,24.884871303056286,231.98090056236595,207.5219433852717,24.45895717709425,28.57142857142857,100.0,71.42857142857143,14.285714285714292,100.0,85.71428571428571,100.0,100.0,0.0,33.43429229944614,8.76072052901556,57.38214547527968,24.60190601059887,11.981602052705327,43.17272012721617,13.349664573340826,14.821362054617836,35.752910012972414,70321300,96.73949925374247,45.131351474398485,96.73949925374247,45.131351474398485,97.56602145670614,76.99671121017401,JPM
2024-11-07,240.5955505635385,240.66443993251144,231.46374518303176,232.605224609375,16451100,0.0,0.0,62.66527303670689,62.73755765577278,62.061032964542285,4.476415044258033,3.2767707337878083,242.57203353872518,205.57810858599578,36.9939249527294,235.85567537369445,208.39207504483232,27.463600328862128,233.41031041894107,208.24428291253216,25.16602750640891,28.57142857142857,85.71428571428571,57.14285714285714,14.285714285714292,92.85714285714286,78.57142857142857,95.23809523809523,95.23809523809523,0.0,39.15935109856046,6.840484970947472,44.80472838099764,26.884087413424222,10.31527659674337,37.16853118531601,14.68481099663077,13.323186051358881,32.13892692351517,53870200,59.69482536062295,62.34712814468676,59.69482536062295,62.34712814468676,68.19057613042969,79.04100813662514,JPM
2024-11-08,235.51794640397236,235.51794640397236,232.01479888566342,233.1956329345703,9502100,0.0,0.0,63.26270293642884,63.14929575639913,62.40288802213458,4.891081752669606,3.5996329375641682,245.10739151587367,206.57683002430488,38.53056149156879,237.85995098904021,208.35305080713727,29.50690018190295,234.51465809961738,209.40227014629036,25.112387953327016,28.571428571428577,71.42857142857143,42.857142857142854,14.285714285714278,85.71428571428571,71.42857142857143,90.47619047619048,90.47619047619048,0.0,44.06654435494415,6.352084222345479,41.60573547696715,29.00325585890491,9.87076897604761,35.5668586361614,15.956379018811669,12.911157050054337,31.1450077579155,63372300,61.7759547856163,72.73675979999389,61.7759547856163,72.73675979999389,66.44338175978449,77.3999931156401,JPM
2024-11-11,236.16740324914207,238.2338740336197,235.18337240227063,235.46873474121094,9017100,0.0,0.0,65.72618617565637,64.76362481045618,63.72427000685143,5.341554312180818,3.9480172124874984,247.47778847078823,209.0900346667676,38.38775380402063,240.13836556949502,208.20717188865228,31.93119368084274,236.46323606430715,209.0468855991043,27.416350465202868,28.57142857142857,57.14285714285714,28.57142857142857,14.285714285714278,78.57142857142857,64.28571428571429,85.71428571428571,85.71428571428571,0.0,48.72182734633858,5.672516831388539,42.92168767266063,31.198758623023082,9.25318664911135,36.71429645684827,17.31826433170237,12.335091520890673,32.16056167042772,72389400,69.7884079539222,63.75306270005382,69.7884079539222,63.75306270005382,70.08926974421588,68.24107587814335,JPM
2024-11-12,236.70861669336026,237.60408834295924,234.9471931175452,235.7344207763672,6861000,0.0,0.0,66.03674817033165,64.95685893421273,63.880067321416355,5.65481056745503,4.2893758834810045,248.8681892577515,212.37237209129984,36.49581716645167,242.1180357132898,208.49780029396467,33.62023541932513,238.18722263214346,209.0173061764503,29.16991645569317,28.57142857142857,42.857142857142854,14.285714285714285,14.285714285714292,71.42857142857143,57.14285714285714,80.95238095238095,80.95238095238095,0.0,52.41183038478248,5.871170191052969,40.2710434600063,33.159572812154344,9.240700425989633,35.45451395013521,18.581489938472536,12.252014297210545,31.385178955990188,79250400,70.72492426302163,67.4297623341867,70.72492426302163,67.4297623341867,70.72492426302163,69.08585858900733,JPM
2024-11-13,236.7381287494199,240.1920714094279,236.47243623245984,237.30886840820312,11472600,0.0,0.0,68.03897316980374,66.14181024751825,64.82019328566808,5.961393933899444,4.623779493564693,247.93481399071783,219.31676856369063,28.618045427027198,244.16985161281673,208.72050090880714,35.44935070400959,240.00885010133047,208.95474969405646,31.054100407274007,28.57142857142857,28.57142857142857,0.0,14.285714285714292,64.28571428571429,50.0,9.523809523809533,76.19047619047619,66.66666666666666,56.054623086126924,5.238002509979502,42.18915538949581,35.200458740660885,8.701242102387717,36.77401974792106,19.927583162109872,11.752835592675805,32.471862250289256,90723000,75.57139663716809,72.02824295137064,76.27469237247526,72.2626748631397,76.27469237247526,72.36296212657093,JPM
